Country,State,PUE
Global,,1.09
United States,South Carolina,1.09
United States,Virginia,1.08
United States,Ohio,1.05
Taiwan,,1.13
United States,Iowa,1.1
United States,Georgia,1.09
Ireland,,1.08
Netherlands,,1.07
Denmark,,1.07
Finland,,1.1
United States,Nevada,1.12
Japan,,1.11
United States,Alabama,1.1
United States,North Carolina,1.1
United States,Oklahoma,1.12
United States,Texas,1.1
United States,Tennessee,1.09
United States,Nebraska,1.07
Chile,,1.08
Singapore,,1.13
Belgium,,1.08
United States,Oregon,1.07
