"","Area","ISO.3.code","Year","Continent","Biomass","Coal","Gas","Hydro","Nuclear","Other Fossil","Other Renewables","Solar","Wind"
"1","Afghanistan","AFG",2024,"Asia",0,0.0303,0,0.7576,0,0.101,0,0.1111,0
"2","Albania","ALB",2024,"Europe",0,0,0,0.9592,0,0,0,0.0408,0
"3","Algeria","DZA",2024,"Africa",0,0,0.9859,2e-04,0,0.0034,0,0.0103,2e-04
"4","American Samoa","ASM",2024,"Oceania",0,0,0,0,0,0.9444,0,0.0556,0
"5","Angola","AGO",2024,"Africa",3.2e-05,0,0.0898,0.7056,0,0.1732,0,0.0282,0
"6","Antigua and Barbuda","ATG",2024,"North America",0,0,0,0,0,0.9189,0,0.0811,0
"7","Argentina","ARG",2024,"South America",0.000172,0.0086,0.5373,0.1945,0.0685,0.0417,NA,0.026,0.106
"8","Armenia","ARM",2024,"Asia",0,0,0.3898,0.2215,0.2913,0,0,0.0975,0
"9","Aruba","ABW",2024,"South America",0,0,0,0,0,0.83,0,0.03,0.14
"10","Australia","AUS",2024,"Oceania",0.000106,0.4521,0.1743,0.0456,NA,0.0228,NA,0.1783,0.1162
"11","Austria","AUT",2024,"Europe",0.000595,0,0.0961,0.5825,0,0.0417,0,0.1037,0.1165
"12","Azerbaijan","AZE",2024,"Asia",3.6e-05,0,0.88,0.1078,0,0.0025,0,0.0029,0.0032
"13","Bahamas (the)","BHS",2024,"North America",0,0,0,0,0,0.9911,0,0.0089,0
"14","Bahrain","BHR",2024,"Asia",0,0,0.9974,0,0,0,0,0.0026,0
"15","Bangladesh","BGD",2024,"Asia",0,0.1994,0.6588,0.0069,0,0.1229,0,0.012,0
"16","Barbados","BRB",2024,"North America",0,0,0.027,0,0,0.8829,0,0.0901,0
"17","Belarus","BLR",2024,"Europe",0.00012,4e-04,0.5893,0.0087,0.3424,0.0371,0,0.0057,0.0044
"18","Belgium","BEL",2024,"Europe",0.000475,0,0.1864,0.0072,0.4111,0.0501,0,0.1126,0.185
"19","Belize","BLZ",2024,"North America",0.003404,0,0,0.5106,0,0.1277,0,0.0213,0
"20","Benin","BEN",2024,"Africa",0,0,0.7228,0,0,0.2376,0,0.0396,0
"21","Bermuda","BMU",2024,"North America",0.000164,0,0,0,0,0.9836,0,0,0
"22","Bhutan","BTN",2024,"Asia",0,0,0,1,0,0,0,0,0
"23","Bolivia","BOL",2024,"South America",0.00031,0,0.6452,0.2439,0,0.0148,0,0.0296,0.0355
"24","Bosnia Herzegovina","BIH",2024,"Europe",2.6e-05,0.5868,0,0.3518,0,0.0097,0,0.0252,0.0239
"25","Botswana","BWA",2024,"Africa",0,0.9825,0,0,0,0.0146,0,0.0029,0
"26","Brazil","BRA",2024,"South America",0.000781,0.0217,0.0654,0.5541,0.0212,0.0184,NA,0.0956,0.1455
"27","Brunei Darussalam","BRN",2024,"Asia",0,0.1978,0.7914,0,0,0.009,0,0.0018,0
"28","Bulgaria","BGR",2024,"Europe",0.000449,0.2287,0.0533,0.0728,0.412,0.0068,0,0.1433,0.0381
"29","Burkina Faso","BFA",2024,"Africa",0.000533,0,0,0.0533,0,0.8284,0,0.0651,0
"30","Burundi","BDI",2024,"Africa",0.000204,0,0,0.7347,0,0.2449,0,0,0
"31","Cabo Verde","CPV",2024,"Africa",0,0,0,0,0,0.6923,0,0.1538,0.1538
"32","Cambodia","KHM",2024,"Asia",5.2e-05,0.6092,NA,0.2823,NA,0.0342,NA,0.0691,NA
"33","Cameroon","CMR",2024,"Africa",5.5e-05,0,0.2204,0.7204,0,0.0482,0,0.0055,0
"34","Canada","CAN",2024,"North America",0.000154,0.0395,0.1721,0.539,0.1342,0.0115,NA,0.0148,0.0735
"35","Cayman Islands (the)","CYM",2024,"North America",0,0,0,0,0,0.9577,0,0.0423,0
"36","Chad","TCD",2024,"Africa",0.00027,0,0,0,0,0.9459,0,0,0.027
"37","Chile","CHL",2024,"South America",0.000564,0.153,0.143,0.2934,0,0.0036,0.0051,0.2278,0.1177
"38","China","CHN",2024,"Asia",0.000207,0.5777,0.0318,0.1343,0.0447,0.0088,NA,0.0832,0.0988
"39","Colombia","COL",2024,"South America",0.000249,0.1258,0.222,0.5484,0,0.0388,0,0.0385,0.0017
"40","Congo (the Democratic Republic of the)","COD",2024,"Africa",6e-06,0,0,0.8417,0,0,0,0.1577,0
"41","Congo (the)","COG",2024,"Africa",5.5e-05,0,0.7381,0.2015,0,0.0531,0,0.0018,0
"42","Cook Islands (the)","COK",2024,"Oceania",0,0,0,0,0,0.5,0,0.5,0
"43","Costa Rica","CRI",2024,"North America",5.5e-05,0,0,0.7273,0,9e-04,0.1455,0.0082,0.1127
"44","Cote d'Ivoire","CIV",2024,"Africa",9.3e-05,0,0.709,0.278,0,0.0019,0,0.0019,0
"45","Croatia","HRV",2024,"Europe",0.000654,0.0523,0.2126,0.4402,0,7e-04,0,0.0536,0.1753
"46","Cuba","CUB",2024,"North America",0.00018,0,0.1364,0.0062,0,0.8235,0,0.0124,0.0036
"47","Cyprus","CYP",2024,"Europe",0.000104,0,0,0,0,0.7599,0,0.1917,0.038
"48","Czechia","CZE",2024,"Europe",0.000739,0.3642,0.0521,0.0365,0.4079,0.0069,0,0.0493,0.0092
"49","Denmark","DNK",2024,"Europe",0.002014,0.0499,0.026,6e-04,0,0.0322,0,0.1078,0.5821
"50","Djibouti","DJI",2024,"Africa",0,0,0,0,0,0.65,0,0,0.35
"51","Dominican Republic (the)","DOM",2024,"North America",8.7e-05,0.2996,0.2913,0.0612,0,0.2206,0,0.0645,0.0541
"52","Ecuador","ECU",2024,"South America",0.000119,0,0.0291,0.7042,0,0.2465,0,0.0012,0.007
"53","Egypt","EGY",2024,"Africa",0,0,0.8129,0.0605,NA,0.0751,NA,0.0256,0.0259
"54","El Salvador","SLV",2024,"North America",0.001271,NA,NA,0.3262,NA,0.0919,0.242,0.1914,0.0214
"55","Equatorial Guinea","GNQ",2024,"Africa",0,0,0.7248,0.2685,0,0.0067,0,0,0
"56","Eritrea","ERI",2024,"Africa",0,0,0,0,0,0.8889,0,0.1111,0
"57","Estonia","EST",2024,"Europe",0.002141,0,0.0128,0.0048,0,0.4297,0,0.1709,0.1677
"58","Eswatini","SWZ",2024,"Africa",0.003443,0.0328,0,0.5738,0,0,0,0.0492,0
"59","Ethiopia","ETH",2024,"Africa",4e-06,0,0,0.969,0,0,0.0012,0.0016,0.0278
"60","Fiji","FJI",2024,"Oceania",0.001043,0,0,0.5217,0,0.3652,0,0.0087,0
"61","Finland","FIN",2024,"Europe",0.001259,0.0101,0.0099,0.1732,0.3949,0.0265,0,0.0114,0.2481
"62","France","FRA",2024,"Europe",0.00019,0.0018,0.0322,0.1266,0.6772,0.017,0.001,0.0443,0.0809
"63","French Polynesia","PYF",2024,"Oceania",0,0,0,0.2639,0,0.6528,0,0.0833,0
"64","Gabon","GAB",2024,"Africa",3.8e-05,0,0.4423,0.35,0,0.2038,0,0,0
"65","Gambia (the)","GMB",2024,"Africa",0,0,0,0,0,1,0,0,0
"66","Georgia","GEO",2024,"Asia",0,0,0.2017,0.7897,0,0,0,0.0022,0.0065
"67","Germany","DEU",2024,"Europe",0.00103,0.2144,0.1581,0.048,0,0.0411,4e-04,0.1495,0.2855
"68","Ghana","GHA",2024,"Africa",8e-06,0,0.6143,0.3543,0,0.0235,0,0.007,0
"69","Gibraltar","GIB",2024,"Europe",0,0,0.8182,0,0,0.1818,0,0,0
"70","Greece","GRC",2024,"Europe",0.000124,0.0573,0.3772,0.0627,0,0.0732,0,0.1973,0.2199
"71","Greenland","GRL",2024,"North America",5e-04,0,0,0.7833,0,0.1667,0,0,0
"72","Grenada","GRD",2024,"North America",0,0,0,0,0,1,0,0,0
"73","Guam","GUM",2024,"Oceania",0,0,0,0,0,0.914,0,0.086,0
